fecha,delito,x,y,colonia,municipio,clave_mun,hora,bien_afectado,zona_geografica
2025-03-27,Violencia familiar,-103.47069220538222,20.701762855520364,SAN JUAN DE OCOTAN,ZAPOPAN,120,09:51,La familia,AMG
2025-05-02,Violencia familiar,-103.3509290306124,20.76825238525534,LA MESA COLORADA PONIENTE,ZAPOPAN,120,19:30,La familia,AMG
2025-05-15,Violencia familiar,-103.45345457178442,20.707923312752268,SAN JUAN DE OCOTAN,ZAPOPAN,120,21:00,La familia,AMG
2025-05-22,Violencia familiar,-103.34375914049384,20.770486821306733,LA MESA COLORADA PONIENTE,ZAPOPAN,120,11:30,La familia,AMG
2025-05-28,Violencia familiar,-103.33826471875857,20.760894863049597,MESA COLORADA ORIENTE,ZAPOPAN,120,15:30,La familia,AMG
2025-08-07,Violencia familiar,-103.34600678067464,20.768701872040165,LA MESA COLORADA PONIENTE,ZAPOPAN,120,09:00,La familia,AMG
2025-08-07,Violencia familiar,-103.4586019746779,20.710634352592663,SAN JUAN DE OCOTAN,ZAPOPAN,120,22:10,La familia,AMG
2025-08-21,Violencia familiar,-103.4512123451388,20.704660142391784,SAN JUAN DE OCOTAN,ZAPOPAN,120,10:00,La familia,AMG
2025-09-05,Violencia familiar,-103.49238794021652,20.79394285720277,EL HUMEDO DE NEXTIPAC,ZAPOPAN,120,13:30,La familia,AMG
2025-09-20,Violencia familiar,-103.4572826469958,20.711977556504507,SAN JUAN DE OCOTAN,ZAPOPAN,120,23:45,La familia,AMG
2025-02-11,Violencia familiar,-103.45227254981268,20.700469110491547,SAN JUAN DE OCOTAN,ZAPOPAN,120,21:00,La familia,AMG
2025-02-18,Violencia familiar,-103.45485972571404,20.71326567853796,SAN JUAN DE OCOTAN,ZAPOPAN,120,22:30,La familia,AMG
2025-03-11,Violencia familiar,-103.33733434456065,20.76078649818079,MESA COLORADA ORIENTE,ZAPOPAN,120,15:00,La familia,AMG
2025-03-11,Violencia familiar,-103.52508095753456,20.77094734655513,NEXTIPAC,ZAPOPAN,120,01:00,La familia,AMG
2025-04-11,Violencia familiar,-103.34839714040032,20.77145286017558,LA MESA COLORADA PONIENTE,ZAPOPAN,120,20:30,La familia,AMG
2025-06-03,Violencia familiar,-103.45675639278404,20.70834826401692,SAN JUAN DE OCOTAN,ZAPOPAN,120,02:00,La familia,AMG
2025-06-25,Violencia familiar,-103.46038777254952,20.702077546234836,SAN JUAN DE OCOTAN,ZAPOPAN,120,23:30,La familia,AMG
2025-06-25,Violencia familiar,-103.4526686641826,20.707789782719512,SAN JUAN DE OCOTAN,ZAPOPAN,120,05:00,La familia,AMG
2025-07-01,Violencia familiar,-103.45520944346931,20.70718025541981,SAN JUAN DE OCOTAN,ZAPOPAN,120,19:00,La familia,AMG
2025-07-02,Violencia familiar,-103.45417979959905,20.711199942740265,SAN JUAN DE OCOTAN,ZAPOPAN,120,01:00,La familia,AMG
2025-07-21,Violencia familiar,-103.33912024292584,20.76697333650937,MESA COLORADA ORIENTE,ZAPOPAN,120,03:00,La familia,AMG
2025-09-17,Violencia familiar,-103.45506555866592,20.711903471805545,SAN JUAN DE OCOTAN,ZAPOPAN,120,13:00,La familia,AMG
2025-02-10,Violencia familiar,-103.4619395111667,20.714866287381835,SAN JUAN DE OCOTAN,ZAPOPAN,120,21:00,La familia,AMG
2025-03-05,Violencia familiar,-103.45299142781438,20.70342048267293,SAN JUAN DE OCOTAN,ZAPOPAN,120,16:00,La familia,AMG
2025-03-12,Violencia familiar,-103.33699498331455,20.76634755982027,MESA COLORADA ORIENTE,ZAPOPAN,120,14:00,La familia,AMG
2025-05-09,Violencia familiar,-103.45157807689796,20.715910093189954,SAN JUAN DE OCOTAN,ZAPOPAN,120,20:00,La familia,AMG
2025-05-14,Violencia familiar,-103.342498704442,20.76805380539748,LA MESA COLORADA PONIENTE,ZAPOPAN,120,20:30,La familia,AMG
2025-05-21,Violencia familiar,-103.44912568616864,20.71253660215349,SAN JUAN DE OCOTAN,ZAPOPAN,120,N.D.,La familia,AMG
2025-07-02,Violencia familiar,-103.35548708498368,20.76851125689678,LA MESA COLORADA PONIENTE,ZAPOPAN,120,21:30,La familia,AMG
2025-08-26,Violencia familiar,-103.33686138823592,20.763636357976008,MESA COLORADA ORIENTE,ZAPOPAN,120,22:00,La familia,AMG
2025-01-27,Violencia familiar,-103.49074182185524,20.7923565558921,EL HUMEDO DE NEXTIPAC,ZAPOPAN,120,20:30,La familia,AMG
2025-09-17,Violencia familiar,-103.4509274913729,20.706238436478017,SAN JUAN DE OCOTAN,ZAPOPAN,120,22:00,La familia,AMG
2025-02-27,Violencia familiar,-103.46038777254952,20.702077546234836,SAN JUAN DE OCOTAN,ZAPOPAN,120,00:00,La familia,AMG
2025-08-20,Violencia familiar,-103.33629423752107,20.76456126783464,MESA COLORADA ORIENTE,ZAPOPAN,120,14:00,La familia,AMG
2025-01-04,Violencia familiar,-103.3505736001183,20.770028487205423,LA MESA COLORADA PONIENTE,ZAPOPAN,120,00:00,La familia,AMG
2025-02-18,Violencia familiar,-103.45097861104664,20.705931758571783,SAN JUAN DE OCOTAN,ZAPOPAN,120,N.D.,La familia,AMG
2025-07-23,Violencia familiar,-103.45520944346931,20.70718025541981,SAN JUAN DE OCOTAN,ZAPOPAN,120,N.D.,La familia,AMG
2025-02-13,Violencia familiar,-103.35032428809166,20.77176044170772,LA MESA COLORADA PONIENTE,ZAPOPAN,120,20:00,La familia,AMG
2025-03-03,Violencia familiar,-103.3410705922808,20.769243001448583,LA MESA COLORADA PONIENTE,ZAPOPAN,120,12:30,La familia,AMG
2025-03-16,Violencia familiar,-103.34445363149536,20.77021349311195,LA MESA COLORADA PONIENTE,ZAPOPAN,120,22:00,La familia,AMG
2025-03-23,Violencia familiar,-103.37100831007572,20.79272505350548,SAN ESTEBAN,ZAPOPAN,120,21:30,La familia,AMG
2025-03-30,Violencia familiar,-103.45069201729152,20.709569665456847,SAN JUAN DE OCOTAN,ZAPOPAN,120,N.D.,La familia,AMG
2025-04-02,Violencia familiar,-103.44700854273508,20.708307927584134,SAN JUAN DE OCOTAN,ZAPOPAN,120,17:00,La familia,AMG
2025-05-06,Violencia familiar,-103.3360430479192,20.76206571946593,MESA COLORADA ORIENTE,ZAPOPAN,120,21:00,La familia,AMG
2025-01-14,Violencia familiar,-103.34915993250964,20.771080805881542,LA MESA COLORADA PONIENTE,ZAPOPAN,120,17:00,La familia,AMG
2025-07-03,Violencia familiar,-103.343254701187,20.768706971334566,LA MESA COLORADA PONIENTE,ZAPOPAN,120,15:00,La familia,AMG
2025-07-05,Violencia familiar,-103.44950596629135,20.713849878685483,SAN JUAN DE OCOTAN,ZAPOPAN,120,21:33,La familia,AMG
